OG0001871	macromolecule glycosylation
OG0003629	Antibiotic biosynthesis monooxygenase
OG0006301	PH domain
OG0000804	ATPase, P-type (transporting), HAD superfamily, subfamily IC
OG0006041	endoribonuclease
OG0001285	Heterogeneous nuclear ribonucleoprotein
OG0004509	Box C D snoRNA protein
OG0002910	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
OG0000444	phosphorelay sensor kinase activity
OG0001743	Malate/L-lactate dehydrogenase
OG0005701	Has a glutathione-disulfide oxidoreductase activity in the presence of NADPH and glutathione reductase. Reduces low molecular weight disulfides and proteins
OG0003560	metallocarboxypeptidase activity
OG0002163	RING-like zinc finger
OG0006326	EF hand
OG0004795	2-nitropropane dioxygenase
OG0001014	ubiquitin thioesterase
OG0006123	NAD-dependent glycerol-3-phosphate dehydrogenase C-terminus
OG0002930	Proteasome subunit
OG0006671	Non-specific serine threonine protein kinase
OG0002995	Multifunctional enzyme that catalyzes the SAM-dependent methylations of uroporphyrinogen III at position C-2 and C-7 to form precorrin-2 via precorrin-1. Then it catalyzes the NAD- dependent ring dehydrogenation of precorrin-2 to yield sirohydrochlorin. Finally, it catalyzes the ferrochelation of sirohydrochlorin to yield siroheme
OG0002882	Pfam:Ribosomal_L18e
OG0003487	2OG-Fe(II) oxygenase superfamily
OG0000756	6-phosphofructokinase activity
OG0000956	Lysine methyltransferase
OG0005764	Helicase associated domain (HA2)
OG0001731	methyltransferase activity
OG0001404	O-methyltransferase
OG0006088	antr2,pht4
OG0005772	Catalyzes the irreversible NADPH-dependent deamination of GMP to IMP. It functions in the conversion of nucleobase, nucleoside and nucleotide derivatives of G to A nucleotides, and in maintaining the intracellular balance of A and G nucleotides
OG0001344	Sulfate permease
OG0002400	Receptor family ligand binding region
OG0000306	helicase activity
OG0005094	regulation of tocopherol cyclase activity
OG0002267	2OG-Fe(II) oxygenase superfamily
OG0002093	Guanylate-binding protein, N-terminal domain
OG0000771	Glycosyltransferase sugar-binding region containing DXD motif
OG0006780	Pyrophosphatase that catalyzes the hydrolysis of nucleoside triphosphates to their monophosphate derivatives, with a high preference for the non-canonical purine nucleotides XTP (xanthosine triphosphate), dITP (deoxyinosine triphosphate) and ITP. Seems to function as a house-cleaning enzyme that removes non-canonical purine nucleotides from the nucleotide pool, thus preventing their incorporation into DNA RNA and avoiding chromosomal lesions
OG0002813	Belongs to the DEAD box helicase family
OG0005191	Belongs to the iron ascorbate-dependent oxidoreductase family
OG0003002	phosphoadenylyl-sulfate reductase (thioredoxin) activity
OG0000020	Belongs to the DEAD box helicase family
OG0005336	L-ascorbic acid binding
OG0000198	The RING-variant domain is a C4HC3 zinc-finger like motif found in a number of cellular and viral proteins. Some of these proteins have been shown both in vivo and in vitro to have ubiquitin E3 ligase activity.
OG0004323	Belongs to the transketolase family
OG0004305	Microtubule binding
OG0005594	acetylcholinesterase activity
OG0006888	Calcium-binding protein
OG0007366	calcium-dependent protein serine/threonine kinase activity
OG0001507	Mitogen activated protein kinase 7. Source PGD
OG0002820	glutamate-5-semialdehyde dehydrogenase activity
OG0002309	Belongs to the class I-like SAM-binding methyltransferase superfamily. RNA M5U methyltransferase family
OG0006165	non-motile cilium assembly
OG0002885	oligopeptidase activity
OG0001550	glutathione gamma-glutamylcysteinyltransferase activity
OG0000436	ATPase activity, coupled to transmembrane movement of substances
OG0002844	TOBE domain
OG0003980	IMP cyclohydrolase activity
OG0004472	IQ domain-containing protein G.. Source PGD
OG0003388	tRNA-dihydrouridine(47) synthase NAD(P)( )
OG0000040	High affinity cGMP-specific 3',5'-cyclic phosphodiesterase
OG0007596	Lipopolysaccharide kinase (Kdo/WaaP) family
OG0005862	response to virus
OG0002152	Mitochondrial biogenesis AIM24
OG0000464	Notch signaling pathway
OG0000058	dynactin
OG0002153	PFAM SpoU rRNA Methylase family
OG0003474	Belongs to the universal ribosomal protein uL11 family
OG0007648	Ferredoxin
OG0002682	thiopurine S-methyltransferase activity
OG0005366	Thiamine pyrophosphate enzyme, N-terminal TPP binding domain
OG0001588	O-methyltransferase activity
OG0005571	methyltransferase activity
OG0005851	Responsible for synthesis of pseudouridine from uracil
OG0000852	Protease Do-like 1 chloroplastic
OG0000216	PFAM regulator of chromosome condensation, RCC1
OG0004032	UDP-N-acetylglucosamine diphosphorylase activity
OG0001521	guanosine-5'-triphosphate,3'-diphosphate diphosphatase activity
OG0005287	repair of mitotic mono-orientation defects
OG0002450	-
OG0002942	PFAM Extradiol ring-cleavage dioxygenase class III protein subunit B
OG0003711	oxidation-reduction process
OG0001620	1,4-alpha-glucan branching enzyme activity
OG0001742	Lycopene cyclase protein
OG0000907	Doublecortin
OG0002107	Belongs to the eukaryotic ribosomal protein eL36 family
OG0001342	ABC transporter
OG0002461	protein kinase activity
OG0005332	Catalyzes the oxidative decarboxylation of 6- phosphogluconate to ribulose 5-phosphate and CO(2), with concomitant reduction of NADP to NADPH
OG0006906	AIG1 family
OG0004943	COG0330 Membrane protease subunits stomatin prohibitin homologs
OG0000835	Pkinase-domain-containing protein
OG0001285	protein antigen binding
OG0002431	Triose-phosphate Transporter family
OG0000243	Prolyl 4-hydroxylase alpha subunit homologues.
OG0004797	Interferon-inducible GTPase
OG0003222	Lactonase, 7-bladed beta-propeller
OG0007522	phosphoesterases, related to the Icc protein
OG0003013	Zinc-binding dehydrogenase
OG0003795	Dual-specificity methyltransferase that catalyzes the formation of 5-methyluridine at position 54 (m5U54) in all tRNAs, and that of position 341 (m5U341) in tmRNA (transfer-mRNA)
OG0001965	Belongs to the ubiquitin-conjugating enzyme family
OG0003849	Oxidoreductase family, NAD-binding Rossmann fold
OG0000215	ABC transporter
OG0000694	Tetratricopeptide repeat domain 31
OG0004377	isomerase D
OG0002401	Glycogen recognition site of AMP-activated protein kinase
OG0000207	ADP-ribosylation factor GTPase-activating
OG0000209	annealing helicase activity
OG0004760	keratinocyte development
OG0005211	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity
OG0002343	alternative oxidase activity
OG0002972	cytochrome C
OG0000430	cGMP-dependent protein kinase activity
OG0003664	serine-type carboxypeptidase activity
OG0000172	phosphopantetheine binding
OG0000550	glycosyl
OG0005923	adenyl-nucleotide exchange factor activity
OG0004816	Protein tyrosine kinase
OG0001289	DNA binding
OG0003512	Peptidase family S51
OG0000251	Ribosomal protein S1-like RNA-binding domain
OG0004926	inner dynein arm assembly
OG0004657	sperm chromatin condensation
OG0001262	ammonium transmembrane transporter activity
OG0002985	Peptidase S15
OG0000348	Meiosis protein MEI2
OG0001442	DNAJ heat shock N-terminal domain-containing protein
OG0001977	Binds to Cpn60 in the presence of Mg-ATP and suppresses the ATPase activity of the latter
OG0006769	Aldo/keto reductase family
OG0004524	Carbon catabolite repressor protein 4 homolog
OG0000765	peptide antigen assembly with MHC class I protein complex
OG0000172	nonribosomal peptide
OG0001039	Splicing factor u2af large subunit. Source PGD
OG0001565	RNA transmembrane transporter activity
OG0000603	aspartic-type endopeptidase activity
OG0001076	Catalyzes the NADPH-dependent formation of L-aspartate- semialdehyde (L-ASA) by the reductive dephosphorylation of L- aspartyl-4-phosphate
OG0006749	ribosomal protein L24
OG0001573	transmembrane transporter activity
OG0004293	Tudor domain
OG0000361	guanyl-nucleotide exchange factor activity
OG0000472	Source PGD
OG0003434	YGGT family
OG0000825	Citrate transporter
OG0005662	Belongs to the class IV-like SAM-binding methyltransferase superfamily. RNA methyltransferase TrmH family
OG0004274	Specifically deglycosylates the denatured form of N- linked glycoproteins in the cytoplasm and assists their proteasome-mediated degradation. Cleaves the beta-aspartyl- glucosamine (GlcNAc) of the glycan and the amide side chain of Asn, converting Asn to Asp. Prefers proteins containing high- mannose over those bearing complex type oligosaccharides. Can recognize misfolded proteins in the endoplasmic reticulum that are exported to the cytosol to be destroyed and deglycosylate them, while it has no activity toward native proteins. Deglycosylation is a prerequisite for subsequent proteasome-mediated degradation of some, but not all, misfolded glycoproteins
OG0002620	PFAM Integral membrane protein TerC
OG0007158	Ubiquitin-like protein involved in cytoplasm to vacuole transport (Cvt) and autophagic vesicle formation
OG0001285	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
OG0004179	thiol-dependent ubiquitin-specific protease activity
OG0007609	taurine catabolism dioxygenase
OG0003255	UbiA prenyltransferase family
OG0003531	Interferon-inducible GTPase
OG0000965	nucleotide catabolic process
OG0001998	amino acid transmembrane transporter activity
OG0000053	belongs to the protein kinase superfamily
OG0007033	calcium-dependent cysteine-type endopeptidase activity
OG0002150	Manganese-stabilising protein / photosystem II polypeptide
OG0000317	Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family
OG0006039	heat shock protein binding
OG0001474	RNA binding motif protein 13. Source PGD
OG0004980	Mitogen-activated protein kinase kinase kinase
OG0006030	DNA ligase
OG0002193	Protein tyrosine kinase
OG0002462	imidazolonepropionase activity
OG0005752	Scaffold protein Nfu/NifU N terminal
OG0004235	phosphatase activity
OG0006286	pectin acetylesterase activity
OG0001626	protein-cysteine S-palmitoyltransferase activity
OG0004900	E3 ubiquitin-protein ligase
OG0002975	Alpha-kinase family
OG0002268	Leucine carboxyl methyltransferase
OG0007255	imidazolonepropionase activity
OG0007600	ubiquitin conjugating enzyme binding
OG0003996	serine threonine protein kinase
OG0000139	N-acetylgalactosaminyltransferase 7
OG0000103	methyltransferase activity
OG0007058	2OG-Fe(II) oxygenase superfamily
OG0002663	Belongs to the eukaryotic ribosomal protein eS7 family
OG0004682	Nin one binding (NOB1) Zn-ribbon family protein
OG0002263	Catalyzes the formation of N(7)-methylguanine at position 46 (m7G46) in tRNA
OG0001815	Sulfatase
OG0000009	Zinc finger, CCCH type
OG0001793	Glycosyl hydrolases family 16
OG0000075	Short chain dehydrogenase
OG0001300	metallopeptidase activity
OG0003904	methylglyoxal reductase (NADPH-dependent) activity
OG0003198	motif in proteasome subunits, Int-6, Nip-1 and TRIP-15
OG0004950	Functions as component of the Arp2 3 complex which is involved in regulation of actin polymerization and together with an activating nucleation-promoting factor (NPF) mediates the formation of branched actin networks
OG0003883	Ran-binding domain
OG0001131	ubiquitin protein ligase activity
OG0001677	Regulator of chromosome condensation (RCC1) repeat
OG0001642	alpha-1,4-glucan synthase activity
OG0000625	positive regulation of epithelial to mesenchymal transition
OG0001388	Aminotransferase class-V
OG0002849	Rab subfamily of small GTPases
OG0003002	Probable molybdopterin binding domain
OG0007289	Enoyl-CoA hydratase
OG0000307	acyl-CoA dehydrogenase
OG0000778	Transmembrane family, TMEM144 of transporters
OG0003742	heme o metabolic process
OG0005723	Tumor suppressing subtransferable candidate 1
OG0001576	Peptidase family C69
OG0000969	oxidoreductase activity
OG0007389	protein import into mitochondrial matrix
OG0001386	Aminotransferase class I and II
OG0000257	asparagine synthetase
OG0003851	peptidyl-proline hydroxylation to 4-hydroxy-L-proline
OG0005932	Belongs to the protein kinase superfamily
OG0005151	Aminotransferase
OG0006667	Zinc-binding dehydrogenase
OG0003369	Metalloprotease family M14A. Source PGD
OG0002054	Forms part of the ribosomal stalk which helps the ribosome interact with GTP-bound translation factors. Is thus essential for accurate translation
OG0000078	Suppressor of tumorigenicity 14
OG0001631	ELMO domain-containing protein
OG0001479	Nucleotidyltransferase domain
OG0001860	Belongs to the ribose-phosphate pyrophosphokinase family
OG0003064	polyketide synthase
OG0004352	Chlorophyll A-B binding protein
OG0004441	COG2335, Secreted and surface protein containing fasciclin-like repeats
OG0005565	flagellar associated protein. Source PGD
OG0000264	Alcohol dehydrogenase GroES-like domain
OG0002526	14-3-3 protein binding
OG0006882	Acyl CoA binding protein
OG0006922	Non-specific serine threonine protein kinase
OG0000520	acid phosphatase activity
OG0005937	ATP-dependent RNA helicase
OG0005996	helicase activity
