Orthogroup	Protein_symD	Protein_symB
OG0000000	Durusdinium39271	Breviolum534527
OG0000000	Durusdinium40578	Breviolum697786
OG0000000	Durusdinium33161	Breviolum318962
OG0000000	Durusdinium33161	Breviolum695273
OG0000000	Durusdinium33161	Breviolum573341
OG0000000	Durusdinium33161	Breviolum38518
OG0000000	Durusdinium33161	Breviolum695192
OG0000000	Durusdinium33161	Breviolum352676
OG0000000	Durusdinium33161	Breviolum789759
OG0000000	Durusdinium33161	Breviolum780012
OG0000000	Durusdinium33161	Breviolum147972
OG0000000	Durusdinium33161	Breviolum846688
OG0000000	Durusdinium33161	Breviolum258443
OG0000000	Durusdinium11375	Breviolum236564
OG0000000	Durusdinium11375	Breviolum697660
OG0000000	Durusdinium11375	Breviolum640929
OG0000000	Durusdinium11375	Breviolum764566
OG0000000	Durusdinium11375	Breviolum526218
OG0000000	Durusdinium11375	Breviolum94954
OG0000000	Durusdinium11375	Breviolum747207
OG0000000	Durusdinium11375	Breviolum850245
OG0000000	Durusdinium11375	Breviolum687725
OG0000000	Durusdinium11375	Breviolum765270
OG0000000	Durusdinium11375	Breviolum703231
OG0000000	Durusdinium11375	Breviolum506885
OG0000000	Durusdinium11375	Breviolum239512
OG0000000	Durusdinium11375	Breviolum132409
OG0000000	Durusdinium38911	Breviolum537150
OG0000000	Durusdinium38911	Breviolum63185
OG0000000	Durusdinium38911	Breviolum710734
OG0000000	Durusdinium38911	Breviolum765877
OG0000000	Durusdinium38911	Breviolum111803
OG0000000	Durusdinium38911	Breviolum840489
OG0000000	Durusdinium38911	Breviolum164822
OG0000000	Durusdinium38911	Breviolum5207
OG0000000	Durusdinium38911	Breviolum463992
OG0000000	Durusdinium38911	Breviolum696297
OG0000000	Durusdinium38911	Breviolum608312
OG0000000	Durusdinium38911	Breviolum234172
OG0000000	Durusdinium38911	Breviolum61874
OG0000000	Durusdinium38911	Breviolum603316
OG0000000	Durusdinium38911	Breviolum11970
OG0000000	Durusdinium38911	Breviolum143187
OG0000000	Durusdinium38911	Breviolum290290
OG0000000	Durusdinium38911	Breviolum439113
OG0000000	Durusdinium38911	Breviolum795144
OG0000000	Durusdinium38911	Breviolum98258
OG0000000	Durusdinium38911	Breviolum893952
OG0000000	Durusdinium38911	Breviolum682021
OG0000000	Durusdinium38911	Breviolum359471
OG0000000	Durusdinium38911	Breviolum54725
OG0000000	Durusdinium38911	Breviolum109801
OG0000000	Durusdinium26682	Breviolum20701
OG0000000	Durusdinium26682	Breviolum238293
OG0000000	Durusdinium26682	Breviolum6598
OG0000000	Durusdinium26682	Breviolum348007
OG0000000	Durusdinium26682	Breviolum536329
OG0000000	Durusdinium26682	Breviolum96628
OG0000000	Durusdinium26682	Breviolum253398
OG0000000	Durusdinium26682	Breviolum857155
OG0000000	Durusdinium26682	Breviolum636800
OG0000000	Durusdinium26682	Breviolum115326
OG0000000	Durusdinium26682	Breviolum269700
OG0000000	Durusdinium26682	Breviolum602039
OG0000000	Durusdinium26682	Breviolum218677
OG0000000	Durusdinium34122	Breviolum266712
OG0000000	Durusdinium34122	Breviolum47142
OG0000000	Durusdinium34122	Breviolum464315
OG0000000	Durusdinium34122	Breviolum21408
OG0000000	Durusdinium34122	Breviolum621534
OG0000000	Durusdinium34122	Breviolum196367
OG0000000	Durusdinium34122	Breviolum146603
OG0000000	Durusdinium34122	Breviolum860087
OG0000000	Durusdinium34122	Breviolum530920
OG0000000	Durusdinium34122	Breviolum707600
OG0000000	Durusdinium34122	Breviolum253623
OG0000000	Durusdinium34122	Breviolum164104
OG0000000	Durusdinium34122	Breviolum479702
OG0000000	Durusdinium34122	Breviolum610865
OG0000000	Durusdinium34122	Breviolum817077
OG0000000	Durusdinium34122	Breviolum193889
OG0000000	Durusdinium34122	Breviolum690069
OG0000000	Durusdinium34122	Breviolum309848
OG0000000	Durusdinium34122	Breviolum855174
