OG0005813	K06630
OG0005374	K01634
OG0001196	K06640
OG0009600	K23257
OG0008269	K03362
OG0009968	K15110
OG0004861	K16282
OG0002005	K07300
OG0002493	K04771
OG0001577	K00122
OG0001787	K26544
OG0000393	K10799
OG0007387	K02213
OG0008555	K24984
OG0002412	K10683
OG0005924	K20800
OG0003017	K18464
OG0000624	K06180
OG0003484	K02952
OG0009467	K14404
OG0000441	K07198
OG0008608	K13448
OG0005049	K07390
OG0004308	K05863
OG0006603	K20290
OG0008900	K04523
OG0003063	K01672
OG0004004	K16608
OG0006843	K22763
OG0009205	K11366
OG0004691	K17943
OG0000882	K15271
OG0000866	K17299
OG0001793	K04886
OG0000763	K04955
OG0001830	K09496
OG0009708	K00665
OG0010038	K13525
OG0000644	K26236
OG0005252	K01897
OG0006728	K04720
OG0002427	K02694
OG0000569	K13045
OG0007336	K20028
OG0006500	K14944
OG0001942	K08343
OG0010002	K14007
OG0010044	K09259
OG0002890	K09255
OG0000500	K08811
OG0008909	K10799
OG0005355	K17428
OG0007884	K13126
OG0004682	K00387
OG0009330	K00812
OG0004047	K22747
OG0004448	K12182
OG0000047	K17751
OG0008005	K03453
OG0008305	K00812
OG0006537	K10147
OG0000585	K04604
OG0007072	K19613
OG0002371	K03857
OG0002631	K11592
OG0003975	K01581
OG0009903	K10949
OG0006159	K17872
OG0002781	K00922
OG0004364	K12196
OG0007739	K21440
OG0009086	K03676
OG0004011	K13024
OG0007113	K16474
OG0002590	K07299
OG0004620	K14765
OG0010168	K08866
OG0000586	K01349
OG0003385	K13444
OG0010097	K06711
OG0006495	K08151
OG0002339	K10418
OG0004513	K00898
OG0009713	K00507
OG0004651	K04392
OG0007929	K00476
OG0001876	K22733
OG0010065	K24512
OG0003325	K07767
OG0006429	K23902
OG0004754	K06174
OG0007098	K05516
OG0008846	K24757
OG0007467	K04794
OG0006170	K00555
OG0004398	K09259
OG0008245	K19613
OG0002178	K13412
OG0008190	K07432
OG0003736	K15333
OG0003597	K11530
OG0004710	K15584
OG0000035	K04905
OG0000272	K04981
OG0009343	K14536
OG0001387	K01897
OG0008517	K18055
OG0003054	K14830
OG0009502	K06221
OG0000537	K17506
OG0000682	K00010
OG0005448	K24728
OG0002059	K06221
OG0003118	K01379
OG0002569	K16302
OG0007806	K13291
OG0002956	K11094
OG0001695	K05542
OG0005866	K00306
OG0001067	K08805
OG0005179	K04426
OG0003678	K12132
OG0000016	K09514
OG0000020	K04954
OG0000114	K00645
OG0004175	K08220
OG0006727	K08151
OG0006872	K25792
OG0009119	K01462
OG0005330	K22072
OG0009474	K08596
OG0000828	K23404
OG0009381	K00485
OG0003528	K10225
OG0006543	K14347
OG0001525	K01179
OG0005475	K12948
OG0001204	K03021
OG0004420	K19761
OG0000784	K22390
OG0004141	K13181
OG0003507	K13126
OG0009064	K14521
OG0004379	K14797
OG0007075	K09624
OG0000121	K09640
OG0008531	K12830
OG0006580	K19750
OG0005743	K27605
OG0003518	K03307
OG0003436	K00898
OG0001210	K10523
OG0002236	K12663
OG0004435	K00860
OG0002035	K11099
OG0007482	K11420
OG0004616	K14803
OG0004739	K22390
OG0006155	K00128
OG0004148	K18458
OG0004441	K15446
OG0003444	K08568
OG0001271	K02471
OG0000981	K02964
OG0001584	K12385
OG0009500	K10380
OG0003900	K18660
OG0001311	K12373
OG0007317	K14684
OG0000580	K14381
OG0004949	K00833
OG0000852	K21435
OG0009897	K13024
OG0000095	K01637
OG0009642	K10754
OG0007175	K22614
OG0003851	K11166
OG0001038	K07407
OG0004995	K01491
OG0004778	K08679
OG0009931	K21866
OG0006104	K24925
OG0004149	K11153
OG0002980	K26544
OG0008065	K19219
OG0003378	K17560
OG0003734	K00249
OG0001314	K04344
OG0006353	K09578
OG0000275	K03696
OG0000481	K08288
OG0002401	K27318
OG0000032	K15423
OG0007707	K07897
OG0004037	K08960
OG0008153	K26222
OG0002304	K07915
OG0000057	K13448
OG0004789	K01082
OG0008151	K08857
OG0000110	K10960
OG0004080	K01139
OG0002949	K19760
OG0000428	K13275
OG0002058	K08798
OG0002998	K25401
OG0008820	K22071
OG0009994	K01673
OG0003361	K26935
OG0000735	K04904
OG0002191	K00362
OG0007339	K15738
OG0000032	K06269
OG0002891	K01735
OG0000148	K05643
OG0008549	K04885
OG0008881	K04780
OG0003301	K12833
OG0000415	K08292
OG0004072	K06685
OG0006519	K10842
OG0010047	K25587
OG0002695	K08292
OG0000940	K21440
OG0000220	K08803
OG0007612	K20535
OG0008252	K22763
OG0000395	K02639
OG0001773	K00359
OG0000388	K24205
OG0003596	K12164
OG0001186	K22614
OG0003727	K23555
OG0006817	K07297
OG0000007	K12442
OG0004972	K06942
OG0000541	K12132
OG0008689	K14286
OG0000135	K01365
OG0008781	K20726
OG0000749	K02183
OG0002195	K08794
OG0000321	K14802
OG0007695	K08853
OG0009594	K08244
OG0007743	K02183
OG0004761	K11594
OG0001739	K00471
OG0009908	K11703
OG0004811	K15866
OG0000141	K05673
OG0005259	K07376
OG0000408	K11160
OG0007966	K11170
OG0000723	K12445
OG0007462	K08869
OG0000464	K14297
OG0003691	K25877
OG0005152	K15918
OG0008334	K01253
OG0009081	K08246
OG0009826	K05542
OG0003742	K03320
OG0008183	K05681
OG0001352	K26555
OG0007376	K12235
OG0001780	K05330
OG0003582	K01807
OG0004815	K17616
OG0006783	K00645
OG0000922	K01012
OG0000212	K00700
OG0005084	K17911
OG0007503	K03715
OG0004107	K00013
OG0004417	K07759
OG0008705	K09255
OG0000085	K08957
OG0000159	K11392
