OG0002766	Durusdinium17035	K14569
OG0002616	Durusdinium30736	K00326
OG0002351	Durusdinium32913	K00483
OG0004638	Durusdinium36987	K15111
OG0003911	Durusdinium7774	K02542
OG0002366	Durusdinium47392	K06573
OG0000103	Durusdinium27216	K21806
OG0003360	Durusdinium33310	K00432
OG0003002	Durusdinium23972	K00390
OG0003027	Durusdinium38553	K10597
OG0001291	Durusdinium38756	K12375
OG0000135	Durusdinium26783	K21440
OG0000087	Durusdinium44158	K05534
OG0000017	Durusdinium15502	K04905
OG0002759	Durusdinium37349	K09255
OG0000097	Durusdinium31108	K10579
OG0004757	Durusdinium4357	K16742
OG0000601	Durusdinium44119	K14411
OG0000006	Durusdinium23871	K12443
OG0003753	Durusdinium49666	K00476
OG0000085	Durusdinium41235	K17943
OG0001196	Durusdinium10075	K11981
OG0000119	Durusdinium19255	K04841
OG0006384	Durusdinium21695	K12410
OG0002635	Durusdinium22678	K04515
OG0000141	Durusdinium25009	K25897
OG0004188	Durusdinium30371	K15382
OG0002317	Durusdinium33039	K00898
OG0002137	Durusdinium51799	K01652
OG0004911	Durusdinium19514	K23741
OG0002248	Durusdinium18780	K14855
OG0000156	Durusdinium38427	K10407
OG0005297	Durusdinium7563	K00901
OG0003787	Durusdinium29112	K11426
OG0000545	Durusdinium8899	K01537
OG0007306	Durusdinium5985	K08272
OG0000369	Durusdinium17098	K00699
OG0001646	Durusdinium23857	K20115
OG0007720	Durusdinium39871	K25549
OG0005637	Durusdinium41681	K13412
OG0000770	Durusdinium30742	K20029
OG0006681	Durusdinium20934	K05516
OG0000215	Durusdinium37131	K05657
OG0001530	Durusdinium37078	K06147
OG0002105	Durusdinium21828	K07633
OG0002336	Durusdinium30230	K25549
OG0000314	Durusdinium38309	K12132
OG0000031	Durusdinium29387	K06180
OG0005501	Durusdinium32286	K13617
OG0003516	Durusdinium51684	K19682
OG0000004	Durusdinium34378	K13412
OG0007439	Durusdinium42902	K15015
OG0001518	Durusdinium32514	K11168
OG0001802	Durusdinium28028	K14209
OG0007523	Durusdinium39983	K06978
OG0002172	Durusdinium8928	K21418
OG0002064	Durusdinium1879	K06669
OG0001371	Durusdinium52665	K14963
OG0005962	Durusdinium1539	K17783
OG0004524	Durusdinium27231	K18764
OG0005506	Durusdinium1807	K17777
OG0000500	Durusdinium43482	K02639
OG0000045	Durusdinium8815	K15666
OG0000016	Durusdinium41080	K06180
OG0006264	Durusdinium36794	K13126
OG0000031	Durusdinium22638	K06180
OG0001260	Durusdinium32359	K03555
OG0006614	Durusdinium38938	K02551
OG0003174	Durusdinium14616	K09191
OG0004438	Durusdinium46382	K03447
OG0004338	Durusdinium23896	K24350
OG0000004	Durusdinium40905	K13412
OG0004376	Durusdinium28464	K00606
OG0003979	Durusdinium20171	K14167
OG0000011	Durusdinium29580	K08857
OG0001321	Durusdinium18602	K03218
OG0000336	Durusdinium30211	K11654
OG0004978	Durusdinium30231	K00967
OG0001464	Durusdinium37847	K04460
OG0000019	Durusdinium36040	K14326
OG0002768	Durusdinium3267	K06173
OG0000018	Durusdinium12507	K01802
OG0003695	Durusdinium25458	K03509
OG0002576	Durusdinium31658	K03215
OG0001089	Durusdinium39304	K06252
OG0000261	Durusdinium113	K22809
OG0001918	Durusdinium8476	K10477
OG0001539	Durusdinium55469	K15289
OG0007730	Durusdinium1273	K00002
OG0003967	Durusdinium38194	K08869
OG0000805	Durusdinium26394	K15112
OG0000138	Durusdinium1577	K19041
OG0000210	Durusdinium27371	K14297
OG0000194	Durusdinium29656	K11833
OG0000611	Durusdinium52565	K04371
OG0004135	Durusdinium18641	K20777
OG0000017	Durusdinium48977	K04905
OG0007293	Durusdinium27025	K01076
OG0000451	Durusdinium7168	K00889
OG0000766	Durusdinium11790	K07877
OG0000135	Durusdinium24871	K21442
OG0002062	Durusdinium29353	K02603
OG0001776	Durusdinium26081	K00820
OG0001463	Durusdinium31479	K08287
OG0007313	Durusdinium36573	K15104
OG0001312	Durusdinium1389	K17943
OG0004883	Durusdinium43459	K23902
OG0001660	Durusdinium15862	K20030
OG0000890	Durusdinium37497	K26544
OG0000273	Durusdinium35850	K20028
OG0002538	Durusdinium21052	K06130
OG0001682	Durusdinium14467	K15046
OG0007511	Durusdinium1363	K12193
OG0000871	Durusdinium34053	K17584
OG0000849	Durusdinium44171	K00434
OG0000004	Durusdinium41452	K04515
OG0000715	Durusdinium15412	K22833
OG0000029	Durusdinium37701	K04955
OG0000025	Durusdinium15335	K07937
OG0007689	Durusdinium32771	K17911
OG0007119	Durusdinium52196	K13412
OG0002941	Durusdinium39629	K26956
OG0000234	Durusdinium48945	K00026
OG0000070	Durusdinium39256	K15503
OG0000181	Durusdinium31756	K07151
OG0000085	Durusdinium34077	K17943
OG0005226	Durusdinium8088	K15303
OG0001383	Durusdinium21835	K04515
OG0000090	Durusdinium54936	K14079
OG0001759	Durusdinium43162	K16462
OG0007144	Durusdinium84	K02895
OG0003560	Durusdinium39072	K07752
OG0002230	Durusdinium1069	K08070
OG0000061	Durusdinium37165	K04840
OG0005240	Durusdinium40068	K03686
OG0004198	Durusdinium22466	K15697
OG0004413	Durusdinium36765	K01103
OG0000003	Durusdinium41150	K09255
OG0001412	Durusdinium21809	K21440
OG0001059	Durusdinium44024	K08832
OG0000067	Durusdinium48839	K16290
OG0000415	Durusdinium35668	K14753
OG0000116	Durusdinium11733	K11323
OG0004097	Durusdinium27652	K21814
OG0001823	Durusdinium39462	K00803
